x0000,y0000
2163,5.142940722,
2164,5.143274876,
2165,5.143303518,
2166,5.143246235,
2167,5.143165083,
2168,5.143212819,
2169,5.143356028,
2170,5.143394217,
2171,5.143298745,
2172,5.14343718,
2173,5.143456275,
2174,5.143484917,
2175,5.143628126,
2176,5.14364722,
2177,5.143508785,
2178,5.143494464,
2179,5.143742693,
2180,5.143757014,
2181,5.143589937,
2182,5.14396228,
2183,5.143780882,
2184,5.144081621,
2185,5.143599484,
2186,5.143986149,
2187,5.143990922,
2188,5.143938412,
2189,5.144072074,
2190,5.143842939,
2191,5.144072074,
2192,5.143881128,
2193,5.143871581,
2194,5.144076848,
2195,5.143933638,
2196,5.143852487,
2197,5.144019564,
2198,5.144010017,
2199,5.144019564,
2200,5.143809524,
2201,5.143919318,
2202,5.143957507,
2203,5.143766561,
2204,5.144029111,
2205,5.143928865,
2206,5.144110263,
2207,5.144210509,
2208,5.144210509,
2209,5.144076848,
2210,5.1440673,
2211,5.144239151,
2212,5.144115037,
2213,5.144282114,
2214,5.144282114,
2215,5.144191415,
2216,5.144091169,
2217,5.144134131,
2218,5.143990922,
2219,5.14396228,
2220,5.144196189,
2221,5.143986149,
2222,5.14427734,
2223,5.144167547,
2224,5.143938412,
2225,5.144301209,
2226,5.144253472,
2227,5.144057753,
2228,5.143995696,
2229,5.144205736,
2230,5.144310756,
2231,5.144052979,
2232,5.144177094,
2233,5.144348945,
2234,5.144086395,
2235,5.14431553,
2236,5.144215283,
2237,5.14447306,
2238,5.144377587,
2239,5.144043432,
2240,5.144597174,
2241,5.144138905,
2242,5.144353719,
2243,5.144267793,
2244,10.27161781,
2245,10.26750294,
2246,10.26721652,
2247,10.26655298,
2248,10.26624747,
2249,10.2662236,
2250,10.26583216,
2251,10.26578443,
2252,10.26591809,
2253,10.2660613,
2254,10.26594196,
2255,10.26573192,
2256,10.2657892,
2257,10.26548846,
2258,10.26557916,
2259,10.26548846,
2260,10.26559826,
2261,10.26553143,
2262,10.26533571,
2263,10.26522114,
2264,10.26544073,
2265,10.26535003,
2266,10.26522114,
2267,10.26533571,
2268,10.2651734,
2269,10.26521159,
2270,10.26540731,
2271,10.26525455,
2272,10.26507316,
2273,10.26498723,
2274,10.2650827,
2275,10.26524023,
2276,10.26545982,
2277,10.26502542,
2278,10.26513521,
2279,10.26535957,
2280,10.2651734,
2281,10.26510657,
2282,5.715023021,
2283,5.141460894,
2284,5.142673398,
2285,5.143031421,
2286,5.142959816,
2287,5.14333216,
2288,5.1435422,
2289,5.143260556,
2290,5.143671088,
2291,5.143504011,
2292,5.143317839,
2293,5.143613805,
2294,5.143723598,
2295,5.14380475,
2296,5.143675862,
2297,5.143733146,
2298,5.143771335,
2299,5.143900223,
2300,5.14396228,
2301,5.144019564,
2302,5.143747467,
2303,5.143852487,
2304,5.143714051,
2305,5.144062527,
2306,5.144081621,
2307,5.144010017,
2308,5.143871581,
2309,5.144100716,
2310,5.144052979,
2311,5.144148452,
2312,5.144038659,
2313,5.144115037,
2314,5.14417232,
2315,5.143957507,
2316,5.144124584,
2317,5.144205736,
2318,5.144072074,
2319,10.26992795,
2320,10.26734541,
2321,10.26641455,
2322,10.26614723,
2323,10.26605175,
2324,10.26590854,
2325,10.2656269,
2326,10.26566509,
2327,10.26535003,
2328,10.26572714,
2329,10.26551233,
2330,10.2654455,
2331,10.26550278,
2332,10.2652832,
2333,10.26548846,
2334,10.26539776,
2335,10.26525455,
2336,10.26516863,
2337,10.26518772,
2338,10.26557439,
2339,10.26516386,
2340,10.26513521,
2341,10.26531184,
2342,10.26513044,
2343,10.26518295,
2344,10.26511612,
2345,10.26512567,
2346,10.26517818,
2347,10.26530706,
2348,10.26527842,
2349,10.26509225,
2350,10.26524501,
2351,10.26497768,
2352,10.26492995,
2353,5.140477525,
2354,5.1419669,
2355,5.142558831,
2356,5.142916854,
2357,5.143055289,
2358,5.143145988,
2359,5.143298745,
2360,5.143432407,
2361,5.14348969,
2362,5.143632899,
2363,5.143637673,
2364,5.14364722,
2365,5.143928865,
2366,5.143575616,
2367,5.143809524,
2368,5.143890676,
2369,5.144038659,
2370,5.14390977,
2371,5.143995696,
2372,5.14396228,
2373,5.144057753,
2374,5.143976601,
2375,5.143933638,
2376,5.144191415,
2377,5.144143679,
2378,5.14401479,
2379,5.144234378,
2380,5.143995696,
2381,5.143986149,
2382,5.144286888,
2383,5.144191415,
2384,5.144043432,
2385,5.14436804,
2386,5.14457808,
2387,10.27045305,
2388,10.26749816,
2389,10.26657685,
2390,10.26639068,
2391,10.26582739,
